title,date,subject,gilligan_related,url,author,section,subject_type,notes
The Simpsons Season 36 Brings A Historic Meeting Of Two Homers - SlashFilm,2026-01-01T01:00:00+00:00,,review,https://www.slashfilm.com/2065112/the-simpsons-season-37-historic-meeting-two-homers/,,,,Automated collection; review subject and Gilligan flag manually.
Leonardo DiCaprio,2026-01-01T01:45:00+00:00,,review,https://www.slashfilm.com/2065275/leonardo-dicaprio-the-great-gatsby-adaptation-streaming-prime-video/,,,,Automated collection; review subject and Gilligan flag manually.
Fallout Season 2 Episode 3 Has A Big Cameo Straight From The Games - SlashFilm,2026-01-01T03:30:00+00:00,,review,https://www.slashfilm.com/2064553/fallout-season-2-episode-3-games-cameo-jesse-burch/,,,,Automated collection; review subject and Gilligan flag manually.
Stranger Things Finale Cops Out With The Most Obvious Character Deaths Possible - SlashFilm,2026-01-01T04:05:44+00:00,,review,https://www.slashfilm.com/2065430/stranger-things-series-finale-cop-out-character-deaths/,,,,Automated collection; review subject and Gilligan flag manually.
Stranger Things Series Finale Ending Explained: Who Dies In The Last Episode? - SlashFilm,2026-01-01T04:58:42+00:00,,review,https://www.slashfilm.com/2065440/stranger-things-series-finale-ending-explained/,,,,Automated collection; review subject and Gilligan flag manually.
The Stranger Things Series Finale Is Almost Perfect — Until One Decision Ruins It - SlashFilm,2026-01-01T05:16:07+00:00,,review,https://www.slashfilm.com/2065443/stranger-things-series-finale-almost-perfect-ruined-one-decision/,,,,Automated collection; review subject and Gilligan flag manually.
"Who Is Victor, The Securitron Introduced In Fallout Season 2 Episode 3? - SlashFilm",2026-01-01T11:45:00+00:00,,review,https://www.slashfilm.com/2060593/fallout-season-2-episode-3-victor-the-securitron-explained/,,,,Automated collection; review subject and Gilligan flag manually.
Fallout Season 2 Episode 3 Introduces One Of The Franchise,2026-01-01T13:00:00+00:00,,review,https://www.slashfilm.com/2060620/fallout-season-2-episode-3-faction-introduction-caesar-legion/,,,,Automated collection; review subject and Gilligan flag manually.
Why Batman: The Animated Series Rarely Featured The Riddler - SlashFilm,2026-01-01T14:00:00+00:00,,review,https://www.slashfilm.com/2060553/why-batman-the-animated-series-rarely-featured-riddler/,,,,Automated collection; review subject and Gilligan flag manually.
Stranger Things Series Finale Fixes The Show,2026-01-01T15:00:00+00:00,,review,https://www.slashfilm.com/2065529/stranger-things-series-finale-fix-worst-villain-mistake-vecna-mind-flayer/,,,,Automated collection; review subject and Gilligan flag manually.
The Thing (1982) Cast: Where The Actors Are Now - SlashFilm,2026-01-01T16:10:00+00:00,,review,https://www.slashfilm.com/2063378/the-thing-1982-cast-actors-now/,,,,Automated collection; review subject and Gilligan flag manually.
The Stranger Things Series Finale May Have Sneakily Teased The Spin-Off - SlashFilm,2026-01-01T17:00:00+00:00,,review,https://www.slashfilm.com/2065580/stranger-things-series-finale-spin-off-tease-montauk/,,,,Automated collection; review subject and Gilligan flag manually.
Stranger Things Fans Are Furious Over Eleven,2026-01-01T18:00:00+00:00,,review,https://www.slashfilm.com/2065584/stranger-things-fans-furious-eleven-fate-series-finale/,,,,Automated collection; review subject and Gilligan flag manually.
The Stranger Things Series Finale Features The Show,2026-01-01T20:00:00+00:00,,review,https://www.slashfilm.com/2065596/stranger-things-series-finale-stephen-king-homage-mind-flayer-giant-spider/,,,,Automated collection; review subject and Gilligan flag manually.
Stanger Things Series Finale: Eleven,2026-01-01T21:00:00+00:00,,review,https://www.slashfilm.com/2065657/stranger-things-series-finale-eleven-ending-explained-showrunners/,,,,Automated collection; review subject and Gilligan flag manually.
James Cameron Accidentally Sought Writing Advice From Himself For Avatar: The Way Of Water - SlashFilm,2026-01-01T23:00:00+00:00,,review,https://www.slashfilm.com/2065195/james-cameron-writing-advice-himself-avatar-the-way-of-water/,,,,Automated collection; review subject and Gilligan flag manually.
Stranger Things Series Finale Gives Kali A Baffling Ending (And Fans Are Furious) - SlashFilm,2026-01-01T23:45:00+00:00,,review,https://www.slashfilm.com/2065683/stranger-things-series-finale-kali-ending-baffling/,,,,Automated collection; review subject and Gilligan flag manually.
Steven Spielberg,2026-01-02T00:00:00+00:00,,review,https://www.slashfilm.com/2060701/steven-spielberg-favorite-sci-fi-horror-movie-alien-inspired-war-of-the-worlds/,,,,Automated collection; review subject and Gilligan flag manually.
5 Biggest Unanswered Questions After The Stranger Things Series Finale - SlashFilm,2026-01-02T01:45:00+00:00,,review,https://www.slashfilm.com/2065741/stranger-things-series-finale-biggest-unanswered-questions/,,,,Automated collection; review subject and Gilligan flag manually.
How The Stranger Things Finale Betrays The Show,2026-01-02T11:45:00+00:00,,review,https://www.slashfilm.com/2065710/stranger-things-series-finale-betrayal-most-important-character-eleven/,,,,Automated collection; review subject and Gilligan flag manually.
The Sci-Fi Franchise That Arnold Schwarzenegger And Oliver Stone Almost Ruined - SlashFilm,2026-01-02T12:45:00+00:00,,review,https://www.slashfilm.com/2060870/arnold-schwarzenegger-oliver-stone-scrapped-sci-fi-movie-planet-of-the-apes/,,,,Automated collection; review subject and Gilligan flag manually.
"After Star Trek: Deep Space Nine, Terry Farrell Worked On An Underrated Ted Danson Sitcom - SlashFilm",2026-01-02T13:00:00+00:00,,review,https://www.slashfilm.com/2060862/star-trek-deep-space-nine-terry-farrell-ted-danson-sitcom-becker/,,,,Automated collection; review subject and Gilligan flag manually.
Why Marvel,2026-01-02T14:00:00+00:00,,review,https://www.slashfilm.com/2065749/why-marvel-stan-lee-not-fan-x-men-the-animated-series/,,,,Automated collection; review subject and Gilligan flag manually.
5 Essential Mad Men Episodes Everybody Should Watch At Least Once - SlashFilm,2026-01-02T15:00:00+00:00,,review,https://www.slashfilm.com/2051875/mad-men-essential-episodes/,,,,Automated collection; review subject and Gilligan flag manually.
Stanley Kubrick,2026-01-02T16:00:00+00:00,,review,https://www.slashfilm.com/2051842/stanley-kubrick-a-clockwork-orange-torture-scene-hurt-malcolm-mcdowell-eyes/,,,,Automated collection; review subject and Gilligan flag manually.
15 Movies You Need To Watch If You Like The Predator Franchise - SlashFilm,2026-01-02T16:10:00+00:00,,review,https://www.slashfilm.com/2065040/movies-like-predator/,,,,Automated collection; review subject and Gilligan flag manually.
"Before Pluribus, Rhea Seehorn Starred In One Of Robert Downey Jr.",2026-01-02T17:00:00+00:00,,review,https://www.slashfilm.com/2051872/pluribus-rhea-seehorn-robert-downey-jr-movie-the-shaggy-dog/,,,,Automated collection; review subject and Gilligan flag manually.
The Stranger Things Finale Was A Huge Hit For Theaters - But It Won,2026-01-02T18:00:00+00:00,,review,https://www.slashfilm.com/2066082/stranger-things-finale-huge-hit-theaters-no-impact-box-office/,,,,Automated collection; review subject and Gilligan flag manually.
The Office Star Who Was Fired From A Major Movie Role Because Michael J. Fox Is Short - SlashFilm,2026-01-02T20:00:00+00:00,,review,https://www.slashfilm.com/2061190/the-office-star-melora-hardin-lost-back-to-the-future-role-michael-j-fox-short/,,,,Automated collection; review subject and Gilligan flag manually.
Stranger Things Characters Whose Fates Remain Unknown After The Series Finale - SlashFilm,2026-01-02T22:00:00+00:00,,review,https://www.slashfilm.com/2066138/stranger-things-characters-fates-unknown-series-finale/,,,,Automated collection; review subject and Gilligan flag manually.
