title,date,subject,gilligan_related,url,author,section,subject_type,notes
"Trent Reznor Really, Really Hated Working On",2020-01-01T00:00:54+00:00,,review,https://www.slashfilm.com/571368/bird-box-score-trent-reznor/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-01T15:15:12+00:00,,review,https://www.slashfilm.com/571382/a-quiet-place-part-ii-trailer/,,,,Automated collection; review subject and Gilligan flag manually.
Marvel,2020-01-01T19:19:53+00:00,,review,https://www.slashfilm.com/571383/wandavision-release-date/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-01T20:00:52+00:00,,review,https://www.slashfilm.com/571376/uncut-gems-interview-julia-fox/,,,,Automated collection; review subject and Gilligan flag manually.
Read All Of /Film,2020-01-01T22:00:36+00:00,,review,https://www.slashfilm.com/571377/best-of-the-decade-round-up/,,,,Automated collection; review subject and Gilligan flag manually.
The Morning Watch:,2020-01-02T13:00:08+00:00,,review,https://www.slashfilm.com/571386/the-morning-watch-little-women-scene-breakdown-looking-back-at-street-fighter-more/,,,,Automated collection; review subject and Gilligan flag manually.
"Cool Stuff: McFarlane Toys New DC Comics Figures: Batman, Superman, Green Lantern, Harley Quinn & More - SlashFilm",2020-01-02T14:00:11+00:00,,review,https://www.slashfilm.com/571387/mcfarlane-toys-dc-comics-action-figures-first-wave/,,,,Automated collection; review subject and Gilligan flag manually.
"25 Years Ago, Pixar",2020-01-02T15:00:42+00:00,,review,https://www.slashfilm.com/571380/toy-story-revisited/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-02T15:18:35+00:00,,review,https://www.slashfilm.com/571391/gretel-and-hansel-trailer-new/,,,,Automated collection; review subject and Gilligan flag manually.
The Streamer,2020-01-02T16:00:09+00:00,,review,https://www.slashfilm.com/571388/january-2020-streaming-guide/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-02T16:30:51+00:00,,review,https://www.slashfilm.com/571392/star-wars-the-rise-of-skywalker-rey-final-shot/,,,,Automated collection; review subject and Gilligan flag manually.
"Movie Mixtape: 6 Movies Set In The ""Future"" Of 2020 - SlashFilm",2020-01-02T17:00:15+00:00,,review,https://www.slashfilm.com/571389/movies-set-in-2020/,,,,Automated collection; review subject and Gilligan flag manually.
Colin Trevorrow,2020-01-02T17:30:39+00:00,,review,https://www.slashfilm.com/571394/star-wars-the-rise-of-skywalker-script-colin-trevorrow-not-used/,,,,Automated collection; review subject and Gilligan flag manually.
