title,date,subject,gilligan_related,url,author,section,subject_type,notes
Gilligan's Island And Gunsmoke Shared The Last Set You'd Ever Expect,2026-02-08T22:00:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2091529/gilligans-island-gunsmoke-shared-set-lagoon/,,,,Gilligan-related; manual review required
Gilligan's Island's Stars Once Killed A Fish To Make A Point To Network Execs,2026-02-15T00:45:00+00:00,Bob Denver,yes,https://www.slashfilm.com/2093341/gilligans-island-bob-denver-killed-fish-network-execs-water-lagoon/,,,,Gilligan-related; manual review required
A CSI Star Played Gilligan's Island's Bob Denver In A Forgotten Movie About The Sitcom,2026-02-22T18:45:00+00:00,Bob Denver,yes,https://www.slashfilm.com/2100410/csi-jon-wellner-bob-denver-forgotten-movie-surviving-gilligans-island/,,,,Gilligan-related; manual review required
A Gilligan's Island Star Was Shot Down Over A Tropical Island In WWII,2026-02-26T01:00:00+00:00,Russell Johnson,yes,https://www.slashfilm.com/2110318/gilligans-island-star-russell-johnson-shot-down-tropical-island-world-war-ii/,,,,Gilligan-related; manual review required
Gilligan's Island Creator Made A Bold Claim About The Show's Educational Value,2026-03-09T23:45:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2115207/gilligans-island-creator-claim-taught-students-science-better-teachers/,,,,Gilligan-related; manual review required
Gilligan's Island's Russell Johnson Hated Making A Classic Western With Ronald Reagan,2026-04-08T00:45:00+00:00,Russell Johnson,yes,https://www.slashfilm.com/2138155/gilligans-island-russell-johnson-hated-western-ronald-reagan-law-and-order/,,,,Gilligan-related; manual review required
The Pitt Season 2's Gilligan's Island Reference Explained,2026-04-10T12:30:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2144572/the-pitt-season-2-gilligans-island-reference-explained/,,,,Gilligan-related; manual review required
Gilligan's Island Nearly Cast This Sitcom Legend As The S.S. Minnow's Skipper (According To Russell Johnson),2026-04-14T21:00:00+00:00,Russell Johnson,yes,https://www.slashfilm.com/2143540/gilligans-island-almost-cast-sitcom-legend-carroll-oconnor-skipper/,,,,Gilligan-related; manual review required
"After Gilligan's Island, Alan Hale Jr. Appeared In One Of Clint Eastwood's Most Important Westerns",2026-04-22T00:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2150662/gilligans-island-alan-hale-jr-clint-eastwood-western-hang-em-high/,,,,Gilligan-related; manual review required
"Before Gilligan's Island, Jim Backus Gave An Acting Masterclass In A James Dean Drama",2026-04-26T23:00:00+00:00,Jim Backus,yes,https://www.slashfilm.com/2154848/gilligans-island-jim-backus-james-dean-rebel-without-a-cause/,,,,Gilligan-related; manual review required
Gilligan's Island Has A Harmonious Connection To Star Wars And Jurassic Park,2026-04-28T21:00:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2156013/gilligans-island-star-wars-jurassic-park-connection-john-williams/,,,,Gilligan-related; manual review required
"Before Gilligan's Island, Jim Backus Starred In An Early Career Clint Eastwood Movie",2026-05-02T00:45:00+00:00,Jim Backus,yes,https://www.slashfilm.com/2159742/gilligans-island-jim-backus-clint-eastwood-francis-in-the-navy/,,,,Gilligan-related; manual review required
