title,date,subject,gilligan_related,url,author,section,subject_type,notes
The Predator Franchise May Have Been Hit With A Major Setback - Here,2026-02-06T19:45:32+00:00,,no,https://www.slashfilm.com/2094974/predator-franchise-setback-badlands-director-dan-trachtenberg-paramount-deal/,,,,Subject requires review
The Moment Director Explains The Hidden Layers To The Charli XCX Movie,2026-02-06T21:53:47+00:00,,no,https://www.slashfilm.com/2095085/charli-xcx-the-moment-director-aidan-zamiri-interview/,,,,Subject requires review
Margot Robbie's Wuthering Heights Movie Will Bring The 2026 Box Office To Life,2026-02-06T22:00:00+00:00,,no,https://www.slashfilm.com/2093546/margot-robbie-wuthering-heights-movie-box-office-preview/,,,,Subject requires review
Cary Grant And Alfred Hitchcock's Intense Thriller On Paramount+ Is The Perfect '50s Throwback,2026-02-07T01:45:00+00:00,,no,https://www.slashfilm.com/2093802/cary-grant-alfred-hitchcock-thriller-to-catch-a-thief-streaming-paramount-plus/,,,,Subject requires review
Yellowstone's Wilford Brimley Tribute Explained,2026-02-07T13:00:00+00:00,,no,https://www.slashfilm.com/2083222/yellowstone-wilford-brimley-tribute-explained/,,,,Subject requires review
Robert Redford's Favorite Movie Roles Have Two Major Things In Common,2026-02-07T14:00:00+00:00,,no,https://www.slashfilm.com/2093566/robert-redford-favorite-movie-roles-paul-newman-the-sting-butch-cassidy-and-the-sundance-kid/,,,,Subject requires review
"10 Best Movies That Take Place In Real Time, Ranked - SlashFilm",2026-02-07T16:10:00+00:00,,no,https://www.slashfilm.com/2091011/best-movies-take-place-real-time-ranked/,,,,Subject requires review
Steven Spielberg Didn't Like A Stephen King Adaptation That's Now One Of His Favorites,2026-02-07T16:30:00+00:00,,no,https://www.slashfilm.com/2093507/steven-spielberg-stephen-king-the-shining-favorite-movies/,,,,Subject requires review
One Piece Anime: Everything You Need To Know To Start Watching The Series - SlashFilm,2026-02-07T17:00:00+00:00,,no,https://www.slashfilm.com/2094784/one-piece-anime-everything-you-need-to-know/,,,,Subject requires review
Robin Williams' Forgotten 2006 Psychological Thriller Has A Chilling Premise,2026-02-07T19:00:00+00:00,,no,https://www.slashfilm.com/2086782/robin-williams-2006-psychological-thriller-the-night-listener/,,,,Subject requires review
James Cameron's Favorite Scene In Avatar: Fire & Ash Might Surprise You,2026-02-07T19:30:00+00:00,,no,https://www.slashfilm.com/2086021/james-cameron-favorite-avatar-fire-and-ash-scene/,,,,Subject requires review
Guillermo Del Toro's Toughest Movie To Make Was Also A Major Box Office Bomb,2026-02-07T21:45:00+00:00,,no,https://www.slashfilm.com/2091193/guillermo-del-toro-toughest-movie-nightmare-alley-box-office-bomb/,,,,Subject requires review
George Clooney's First 'ER' Series Wasn't The One That Made Him Famous,2026-02-07T23:00:00+00:00,,no,https://www.slashfilm.com/2070582/george-clooney-first-er-series-cbs-sitcom/,,,,Subject requires review
"10 Worst Superhero TV Shows Of All Time, Ranked",2026-02-07T23:10:00+00:00,,no,https://www.slashfilm.com/2091012/10-worst-superhero-movies-all-time/,,,,Subject requires review
Bob Dylan's Favorite Movie Is Martin Scorsese's Controversial '80s Masterpiece,2026-02-08T01:00:00+00:00,,no,https://www.slashfilm.com/2094013/bob-dylan-favorite-movie-martin-scorsese-the-last-temptation-of-christ/,,,,Subject requires review
John Connor Actor Edward Furlong Followed Up Terminator 2 With An Awful Stephen King Movie - SlashFilm,2026-02-08T01:45:00+00:00,,no,https://www.slashfilm.com/2087208/john-connor-edward-furlong-terminator-2-stephen-king-movie-pet-sematary-two/,,,,Subject requires review
David Bowie's Favorite TV Show Was An Obscure Drama You've Probably Never Heard Of,2026-02-08T11:45:00+00:00,,no,https://www.slashfilm.com/2094034/david-bowie-favorite-tv-show-a-country-practice/,,,,Subject requires review
Roger Ebert Gave Liam Neeson's Underseen Historical Adventure A Near-Perfect Score,2026-02-08T14:00:00+00:00,,no,https://www.slashfilm.com/2095077/roger-ebert-near-perfect-score-liam-neeson-historical-adventure-rob-roy/,,,,Subject requires review
"Before Margot Robbie's Wuthering Heights, Stream Laurence Olivier's 1939 Version For Free",2026-02-08T14:30:00+00:00,,no,https://www.slashfilm.com/2095499/before-margot-robbie-wuthering-heights-laurence-olivier-1939-version-streaming-free/,,,,Subject requires review
What Happens To Nick Blaine In The Handmaid's Tale,2026-02-08T15:00:00+00:00,,no,https://www.slashfilm.com/2060873/what-happens-nick-blaine-the-handmaids-tale/,,,,Subject requires review
Tupac Shakur's Acting Debut Was In An Infamous Chevy Chase Box Office Bomb,2026-02-08T16:00:00+00:00,,no,https://www.slashfilm.com/2091843/tupac-shakur-chevy-chase-box-office-bomb-nothing-but-trouble/,,,,Subject requires review
